[2025-03-26 02:00:13,595] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.035s: similarity=0.7625
[2025-03-26 02:00:13,596] [INFO] apps.images.services.detection_service: ORB candidate found: Image ID=21, similarity=0.7625
[2025-03-26 02:00:13,597] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:13,632] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.034s: similarity=0.0569
[2025-03-26 02:00:13,632] [INFO] apps.images.services.detection_service: Top ORB similarities: [{'image_id': 21, 'similarity': 0.7625418060200669}, {'image_id': 11, 'similarity': 0.19732441471571907}, {'image_id': 6, 'similarity': 0.14381270903010032}, {'image_id': 15, 'similarity': 0.14046822742474915}, {'image_id': 5, 'similarity': 0.13377926421404682}, {'image_id': 1, 'similarity': 0.13043478260869565}, {'image_id': 12, 'similarity': 0.11036789297658862}, {'image_id': 8, 'similarity': 0.10033444816053512}, {'image_id': 3, 'similarity': 0.0802675585284281}, {'image_id': 9, 'similarity': 0.07692307692307693}]
[2025-03-26 02:00:13,633] [INFO] apps.images.services.detection_service: Found 1 ORB candidates for SIFT verification
[2025-03-26 02:00:13,633] [INFO] apps.images.services.detection_service: Starting SIFT feature extraction
[2025-03-26 02:00:13,643] [INFO] apps.images.services.detection_service: SIFT feature extraction completed in 0.009s: 126 keypoints extracted
[2025-03-26 02:00:13,644] [INFO] apps.images.services.detection_service: Starting SIFT verification with threshold 0.45
[2025-03-26 02:00:13,644] [INFO] apps.images.services.detection_service: Starting SIFT feature comparison
[2025-03-26 02:00:13,691] [INFO] apps.images.services.detection_service: SIFT comparison completed in 0.047s: similarity=0.5000
[2025-03-26 02:00:13,692] [INFO] apps.images.services.detection_service: SIFT similarity with image 21: 0.5000
[2025-03-26 02:00:13,693] [WARNING] apps.images.services.detection_service: Similar image found: ID=21 with SIFT similarity 0.5000
[2025-03-26 02:00:13,694] [INFO] apps.images.services.detection_service: Image similarity verification completed in 12.347s: Similar image found
[2025-03-26 02:00:29,790] [INFO] apps.images.services.detection_service: Starting SHA256 calculation
[2025-03-26 02:00:29,790] [INFO] apps.images.services.detection_service: Starting SHA256 hash calculation
[2025-03-26 02:00:29,791] [INFO] apps.images.services.detection_service: SHA256 hash calculation completed in 0.000s: 117c5b0aae...
[2025-03-26 02:00:29,795] [INFO] apps.images.services.detection_service: Starting image similarity verification
[2025-03-26 02:00:29,795] [INFO] apps.images.services.detection_service: Starting SHA256 calculation
[2025-03-26 02:00:29,795] [INFO] apps.images.services.detection_service: Starting SHA256 hash calculation
[2025-03-26 02:00:29,796] [INFO] apps.images.services.detection_service: SHA256 hash calculation completed in 0.000s: 117c5b0aae...
[2025-03-26 02:00:29,796] [INFO] apps.images.services.detection_service: Image hash: 117c5b0aae...
[2025-03-26 02:00:29,798] [INFO] apps.images.services.detection_service: Starting ORB feature extraction
[2025-03-26 02:00:29,800] [INFO] apps.images.services.detection_service: ORB feature extraction completed in 0.002s: 186 keypoints extracted
[2025-03-26 02:00:29,802] [INFO] apps.images.services.detection_service: Comparing against 21 images with ORB features
[2025-03-26 02:00:41,088] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:41,136] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.048s: similarity=0.0591
[2025-03-26 02:00:41,137] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:41,179] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.042s: similarity=0.2151
[2025-03-26 02:00:41,180] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:41,223] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.043s: similarity=0.1237
[2025-03-26 02:00:41,224] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:41,255] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.031s: similarity=0.0323
[2025-03-26 02:00:41,255] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:41,297] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.041s: similarity=0.1505
[2025-03-26 02:00:41,299] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:41,330] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.030s: similarity=0.0699
[2025-03-26 02:00:41,331] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:41,373] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.042s: similarity=0.0753
[2025-03-26 02:00:41,374] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:41,398] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.025s: similarity=0.0269
[2025-03-26 02:00:41,398] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:41,439] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.040s: similarity=0.1505
[2025-03-26 02:00:41,440] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:41,482] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.041s: similarity=0.1452
[2025-03-26 02:00:41,483] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:41,517] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.033s: similarity=0.0484
[2025-03-26 02:00:41,517] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:41,560] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.042s: similarity=0.1075
[2025-03-26 02:00:41,561] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:41,603] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.043s: similarity=0.1075
[2025-03-26 02:00:41,603] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:41,646] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.042s: similarity=0.1183
[2025-03-26 02:00:41,647] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:41,689] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.042s: similarity=0.0376
[2025-03-26 02:00:41,690] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:41,732] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.041s: similarity=0.0054
[2025-03-26 02:00:41,734] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:41,776] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.042s: similarity=0.0753
[2025-03-26 02:00:41,777] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
